GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2015092013,2015-09-20,4,0,0,,SEA,0,0,0,,1,,0,"END GAME",0,,,2015,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092100,2015-09-21,1,0,0,,NYJ,0,0,0,,1,,0,"END QUARTER 1",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092100,2015-09-21,3,3,50,NYJ,IND,4,4,16,,0,,0,"(3:50) 4-R.QUIGLEY PUNTS 35 YARDS TO IND 49, CENTER-46-T.PURDUM, OUT OF BOUNDS.",0,,,2015,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,16,OWN,0,,0,,0
2015092100,2015-09-21,3,0,0,,NYJ,0,0,0,,1,,0,"END QUARTER 3",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092400,2015-09-24,3,0,20,NYG,WAS,1,20,45,,0,,0,"(:20) (SHOTGUN) 44-A.WILLIAMS LEFT TACKLE TO NYG 48 FOR 3 YARDS (41-W.BLACKMON, 38-D.GOLDSON).",0,,,2015,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"LEFT TACKLE",45,OWN,0,,0,,0
2015092400,2015-09-24,4,9,32,NYG,WAS,1,10,20,,0,,0,"(9:32) 23-R.JENNINGS RIGHT GUARD TO NYG 21 FOR 1 YARD (92-C.BAKER, 98-T.KNIGHTON).",0,,,2015,1,"UNDER CENTER",RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,"RIGHT GUARD",20,OWN,0,,0,,0
2015092700,2015-09-27,2,2,0,,ATL,0,0,0,,1,,0,"TWO-MINUTE WARNING",0,,,2015,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092700,2015-09-27,3,0,0,,ATL,0,0,0,,1,,0,"END QUARTER 3",0,,,2015,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092700,2015-09-27,4,1,24,,ATL,0,0,0,,1,,0,"TIMEOUT #3 BY DAL AT 01:24.",0,,,2015,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2015092701,2015-09-27,4,1,4,,NO,0,0,0,,1,,0,"TIMEOUT #2 BY NO AT 01:04.",0,,,2015,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
